"","Id","SalePrice"
"1",1461,123861.0944146
"2",1462,160762.441726283
"3",1463,174099.456169483
"4",1464,194373.66837838
"5",1465,218677.686090157
"6",1466,176438.406275265
"7",1467,181689.910269433
"8",1468,166720.814741051
"9",1469,187639.260698194
"10",1470,113951.178248179
"11",1471,180953.366932676
"12",1472,100811.438476954
"13",1473,93831.5040029152
"14",1474,147208.648133112
"15",1475,126523.132072501
"16",1476,400417.396586629
"17",1477,269570.864875891
"18",1478,308210.012999111
"19",1479,297275.99014855
"20",1480,519743.684049443
"21",1481,330775.743192628
"22",1482,228991.905444923
"23",1483,179099.12183407
"24",1484,161672.326635929
"25",1485,181430.487514324
"26",1486,200814.40351319
"27",1487,346126.534053148
"28",1488,254621.173750608
"29",1489,208738.83637707
"30",1490,226010.398670674
"31",1491,198116.336131232
"32",1492,102356.659325627
"33",1493,165210.686959234
"34",1494,280935.890098935
"35",1495,279482.694751677
"36",1496,209970.082545841
"37",1497,192894.298918272
"38",1498,162773.113190188
"39",1499,152825.877114431
"40",1500,144826.294316254
"41",1501,167518.372350078
"42",1502,154589.795011679
"43",1503,259618.272799794
"44",1504,247322.194999705
"45",1505,227544.406550102
"46",1506,183984.513539074
"47",1507,236793.894750415
"48",1508,193744.795714243
"49",1509,156243.628333218
"50",1510,133681.993536747
"51",1511,139278.66609797
"52",1512,168593.939707508
"53",1513,154862.408279735
"54",1514,145089.309525643
"55",1515,234288.802802769
"56",1516,150559.513401895
"57",1517,182826.421141638
"58",1518,134860.170094431
"59",1519,204818.727038849
"60",1520,125093.979038161
"61",1521,129501.265968135
"62",1522,178824.001271264
"63",1523,117962.026940948
"64",1524,134019.260106275
"65",1525,122017.67133979
"66",1526,114783.860482508
"67",1527,108314.416382681
"68",1528,144859.997931815
"69",1529,133335.442111509
"70",1530,208873.071902933
"71",1531,115152.731029478
"72",1532,107774.155924785
"73",1533,139478.266068979
"74",1534,135198.308373378
"75",1535,138790.588708139
"76",1536,104156.424401363
"77",1537,62656.4695106155
"78",1538,146887.98913839
"79",1539,201666.320822079
"80",1540,103274.9392607
"81",1541,131990.936811454
"82",1542,130688.173121548
"83",1543,178141.217595468
"84",1544,93749.545064429
"85",1545,116761.147553557
"86",1546,133204.883599465
"87",1547,138066.968323306
"88",1548,146836.744583888
"89",1549,118115.583825271
"90",1550,120506.990659775
"91",1551,104608.901462018
"92",1552,120112.697162637
"93",1553,157363.228247733
"94",1554,124919.7557347
"95",1555,169514.434469539
"96",1556,100045.305054412
"97",1557,108070.710303564
"98",1558,106992.137306119
"99",1559,82706.3907437392
"100",1560,121012.934897278
"101",1561,112186.790138399
"102",1562,126252.347308635
"103",1563,117501.624454823
"104",1564,165824.260411826
"105",1565,141905.417630234
"106",1566,250601.979866613
"107",1567,82277.8871851357
"108",1568,220274.319173196
"109",1569,107637.705399915
"110",1570,135505.805635271
"111",1571,120290.851900745
"112",1572,132805.77469204
"113",1573,226505.716016669
"114",1574,114518.724019975
"115",1575,218508.700025556
"116",1576,225657.254048122
"117",1577,186576.672090136
"118",1578,144356.027020377
"119",1579,151289.965009769
"120",1580,198845.674214686
"121",1581,159064.52375525
"122",1582,123980.79940561
"123",1583,277873.680746037
"124",1584,233782.339495588
"125",1585,138496.181662827
"126",1586,84616.8829898522
"127",1587,106523.411375074
"128",1588,134430.38334265
"129",1589,98232.096488068
"130",1590,139134.040630592
"131",1591,102696.13287548
"132",1592,114091.147274462
"133",1593,126616.945472594
"134",1594,139478.287484976
"135",1595,112086.924425583
"136",1596,219759.938664457
"137",1597,176983.294754687
"138",1598,226382.030582501
"139",1599,170082.997700182
"140",1600,169754.796396681
"141",1601,68682.0171493319
"142",1602,106497.93052886
"143",1603,68829.0130984166
"144",1604,251914.456032167
"145",1605,223388.492843581
"146",1606,175511.499010941
"147",1607,184862.25684891
"148",1608,211956.98616875
"149",1609,204605.405464092
"150",1610,169264.548237936
"151",1611,134671.54582269
"152",1612,168140.387087135
"153",1613,171183.888228007
"154",1614,105517.184066952
"155",1615,91688.8402606202
"156",1616,81283.7609700277
"157",1617,90948.1871056659
"158",1618,125076.844927798
"159",1619,139543.46004546
"160",1620,162747.423501877
"161",1621,139152.180926691
"162",1622,139655.978173874
"163",1623,256155.970873933
"164",1624,196112.561109788
"165",1625,120553.684145483
"166",1626,163156.632370527
"167",1627,182025.105107197
"168",1628,250567.893680419
"169",1629,189859.869320781
